2.49 0.410433  -0.15622 -0.291617 -0.417171
2.5 0.407974  -0.159058 -0.29464 -0.418729
2.51 0.405524  -0.161888 -0.297634 -0.420219
2.52 0.403082  -0.164708 -0.300598 -0.421642
2.53 0.400649  -0.167518 -0.303534 -0.422997
2.54 0.398224  -0.17032 -0.30644 -0.424285
2.55 0.395808  -0.173112 -0.309317 -0.425505
2.56 0.3934  -0.175894 -0.312164 -0.426657
2.57 0.391002  -0.178666 -0.31498 -0.427741
2.58 0.388612  -0.181429 -0.317767 -0.428758
2.59 0.38623  -0.184182 -0.320523 -0.429707
2.6 0.383858  -0.186925 -0.323249 -0.430588
2.61 0.381495  -0.189657 -0.325944 -0.431401
2.62 0.37914  -0.19238 -0.328608 -0.432146
2.63 0.376795  -0.195092 -0.331241 -0.432823
2.64 0.374459  -0.197794 -0.333844 -0.433433
2.65 0.372132  -0.200485 -0.336414 -0.433974
2.66 0.369814  -0.203166 -0.338954 -0.434448
2.67 0.367506  -0.205836 -0.341461 -0.434854
2.68 0.365207  -0.208495 -0.343937 -0.435193
2.69 0.362917  -0.211144 -0.346381 -0.435463
2.7 0.360637  -0.213781 -0.348794 -0.435667
2.71 0.358366  -0.216408 -0.351174 -0.435802
2.72 0.356105  -0.219024 -0.353521 -0.435871
2.73 0.353853  -0.221629 -0.355837 -0.435872
2.74 0.351611  -0.224222 -0.35812 -0.435806
2.75 0.349378  -0.226804 -0.36037 -0.435673
2.76 0.347155  -0.229375 -0.362588 -0.435473
2.77 0.344941  -0.231935 -0.364773 -0.435207
2.78 0.342738  -0.234483 -0.366925 -0.434873
2.79 0.340544  -0.237019 -0.369043 -0.434474
2.8 0.338359  -0.239544 -0.371129 -0.434008
2.81 0.336185  -0.242058 -0.373182 -0.433476
2.82 0.33402  -0.244559 -0.375201 -0.432879
2.83 0.331865  -0.247049 -0.377187 -0.432215
2.84 0.32972  -0.249527 -0.37914 -0.431486
2.85 0.327584  -0.251993 -0.381059 -0.430692
2.86 0.325459  -0.254447 -0.382944 -0.429833
2.87 0.323343  -0.25689 -0.384796 -0.428909
2.88 0.321237  -0.25932 -0.386613 -0.427921
2.89 0.319142  -0.261738 -0.388397 -0.426868
2.9 0.317056  -0.264144 -0.390148 -0.425751
2.91 0.31498  -0.266537 -0.391864 -0.424571
2.92 0.312913  -0.268919 -0.393546 -0.423327
2.93 0.310857  -0.271288 -0.395194 -0.422019
2.94 0.308811  -0.273645 -0.396808 -0.420649
2.95 0.306775  -0.27599 -0.398388 -0.419217
2.96 0.304748  -0.278322 -0.399934 -0.417722
2.97 0.302732  -0.280641 -0.401445 -0.416165
2.98 0.300725  -0.282948 -0.402922 -0.414546
2.99 0.298729  -0.285243 -0.404365 -0.412866
3 0.296742  -0.287525 -0.405774 -0.411125
3.01 0.294766  -0.289794 -0.407148 -0.409324
3.02 0.292799  -0.292051 -0.408488 -0.407462
3.03 0.290843  -0.294295 -0.409793 -0.40554
3.04 0.288896  -0.296526 -0.411064 -0.403559
3.05 0.286959  -0.298745 -0.4123 -0.401518
3.06 0.285032  -0.30095 -0.413502 -0.399419
3.07 0.283115  -0.303143 -0.414669 -0.397261
3.08 0.281208  -0.305323 -0.415802 -0.395046
3.09 0.279311  -0.307491 -0.4169 -0.392773
3.1 0.277424  -0.309645 -0.417964 -0.390442
3.11 0.275547  -0.311786 -0.418994 -0.388055
3.12 0.273679  -0.313915 -0.419988 -0.385612
3.13 0.271822  -0.31603 -0.420949 -0.383112
3.14 0.269974  -0.318133 -0.421874 -0.380558
3.15 0.268137  -0.320222 -0.422766 -0.377948
3.16 0.266309  -0.322299 -0.423622 -0.375284
3.17 0.264491  -0.324362 -0.424445 -0.372565
3.18 0.262682  -0.326412 -0.425232 -0.369793
3.19 0.260884  -0.328449 -0.425986 -0.366968
3.2 0.259095  -0.330473 -0.426705 -0.36409
3.21 0.257316  -0.332484 -0.427389 -0.36116
3.22 0.255547  -0.334482 -0.42804 -0.358179
3.23 0.253788  -0.336467 -0.428656 -0.355146
3.24 0.252038  -0.338438 -0.429237 -0.352062
3.25 0.250298  -0.340396 -0.429785 -0.348928
3.26 0.248567  -0.342341 -0.430298 -0.345745
3.27 0.246847  -0.344273 -0.430777 -0.342512
3.28 0.245136  -0.346192 -0.431221 -0.339231
3.29 0.243434  -0.348097 -0.431632 -0.335902
3.3 0.241742  -0.349989 -0.432009 -0.332525
3.31 0.24006  -0.351868 -0.432351 -0.329101
3.32 0.238387  -0.353733 -0.43266 -0.32563
3.33 0.236724  -0.355586 -0.432935 -0.322114
3.34 0.23507  -0.357425 -0.433176 -0.318552
3.35 0.233426  -0.359251 -0.433383 -0.314945
3.36 0.231791  -0.361063 -0.433556 -0.311294
3.37 0.230166  -0.362862 -0.433696 -0.3076
3.38 0.228549  -0.364648 -0.433802 -0.303862
3.39 0.226943  -0.366421 -0.433875 -0.300082
3.4 0.225346  -0.36818 -0.433914 -0.296259
3.41 0.223758  -0.369926 -0.43392 -0.292396
3.42 0.222179  -0.371659 -0.433893 -0.288491
3.43 0.220609  -0.373379 -0.433832 -0.284547
3.44 0.219049  -0.375085 -0.433738 -0.280562
3.45 0.217498  -0.376778 -0.433611 -0.276539
3.46 0.215956  -0.378457 -0.433451 -0.272478
3.47 0.214424  -0.380124 -0.433258 -0.268378
3.48 0.2129  -0.381777 -0.433033 -0.264242
3.49 0.211386  -0.383417 -0.432774 -0.260068
3.5 0.20988  -0.385043 -0.432483 -0.255859
3.51 0.208384  -0.386657 -0.43216 -0.251615
3.52 0.206897  -0.388257 -0.431804 -0.247336
3.53 0.205418  -0.389843 -0.431415 -0.243023
3.54 0.203949  -0.391417 -0.430995 -0.238676
3.55 0.202488  -0.392977 -0.430542 -0.234297
3.56 0.201036  -0.394525 -0.430057 -0.229885
3.57 0.199594  -0.396059 -0.42954 -0.225442
3.58 0.198159  -0.397579 -0.428991 -0.220969
3.59 0.196734  -0.399087 -0.428411 -0.216465
3.6 0.195318  -0.400581 -0.427799 -0.211931
3.61 0.19391  -0.402063 -0.427155 -0.207368
3.62 0.192511  -0.403531 -0.42648 -0.202778
3.63 0.19112  -0.404986 -0.425774 -0.198159
3.64 0.189738  -0.406428 -0.425037 -0.193514
3.65 0.188365  -0.407857 -0.424268 -0.188842
3.66 0.187  -0.409272 -0.423469 -0.184145
3.67 0.185644  -0.410675 -0.422638 -0.179423
3.68 0.184296  -0.412065 -0.421777 -0.174676
3.69 0.182957  -0.413441 -0.420886 -0.169906
3.7 0.181626  -0.414805 -0.419964 -0.165113
3.71 0.180303  -0.416155 -0.419011 -0.160298
3.72 0.178989  -0.417493 -0.418029 -0.155461
3.73 0.177683  -0.418817 -0.417016 -0.150603
3.74 0.176385  -0.420129 -0.415974 -0.145725
3.75 0.175096  -0.421428 -0.414901 -0.140827
3.76 0.173815  -0.422713 -0.4138 -0.13591
3.77 0.172542  -0.423986 -0.412668 -0.130976
3.78 0.171277  -0.425246 -0.411507 -0.126023
3.79 0.17002  -0.426494 -0.410317 -0.121054
3.8 0.168771  -0.427728 -0.409098 -0.116068
3.81 0.16753  -0.428949 -0.40785 -0.111068
3.82 0.166297  -0.430158 -0.406573 -0.106052
3.83 0.165073  -0.431354 -0.405267 -0.101022
3.84 0.163856  -0.432538 -0.403933 -0.0959786
3.85 0.162647  -0.433708 -0.402571 -0.0909225
3.86 0.161445  -0.434866 -0.40118 -0.0858543
3.87 0.160252  -0.436011 -0.399761 -0.0807748
3.88 0.159066  -0.437144 -0.398314 -0.0756845
3.89 0.157888  -0.438264 -0.39684 -0.0705842
3.9 0.156718  -0.439371 -0.395338 -0.0654746
3.91 0.155555  -0.440466 -0.393808 -0.0603563
3.92 0.1544  -0.441548 -0.392251 -0.05523
3.93 0.153253  -0.442618 -0.390668 -0.0500965
3.94 0.152113  -0.443675 -0.389057 -0.0449563
3.95 0.150981  -0.44472 -0.387419 -0.0398103
3.96 0.149856  -0.445753 -0.385754 -0.034659
3.97 0.148738  -0.446773 -0.384064 -0.0295031
3.98 0.147628  -0.44778 -0.382346 -0.0243434
3.99 0.146526  -0.448776 -0.380603 -0.0191805
4 0.14543  -0.449759 -0.378834 -0.014015
4.01 0.144342  -0.450729 -0.377039 -0.00884775
4.02 0.143261  -0.451688 -0.375218 -0.00367932
4.03 0.142188  -0.452634 -0.373371 0.00148958
4.04 0.141121  -0.453568 -0.3715 0.0066583
4.05 0.140062  -0.45449 -0.369603 0.0118261
4.06 0.13901  -0.4554 -0.367681 0.0169924
4.07 0.137965  -0.456297 -0.365735 0.0221565
4.08 0.136927  -0.457183 -0.363764 0.0273177
4.09 0.135896  -0.458056 -0.361768 0.0324754
4.1 0.134872  -0.458918 -0.359748 0.0376289
4.11 0.133854  -0.459767 -0.357704 0.0427774
4.12 0.132844  -0.460605 -0.355637 0.0479204
4.13 0.131841  -0.461431 -0.353545 0.0530573
4.14 0.130844  -0.462244 -0.35143 0.0581872
4.15 0.129854  -0.463046 -0.349292 0.0633097
4.16 0.128871  -0.463836 -0.34713 0.0684239
4.17 0.127895  -0.464615 -0.344945 0.0735294
4.18 0.126925  -0.465381 -0.342738 0.0786253
4.19 0.125962  -0.466136 -0.340508 0.0837112
4.2 0.125005  -0.466879 -0.338255 0.0887862
4.21 0.124055  -0.467611 -0.335981 0.0938499
4.22 0.123112  -0.468331 -0.333684 0.0989015
4.23 0.122175  -0.469039 -0.331365 0.10394
4.24 0.121244  -0.469736 -0.329025 0.108966
4.25 0.12032  -0.470421 -0.326663 0.113978
4.26 0.119403  -0.471095 -0.32428 0.118975
4.27 0.118491  -0.471758 -0.321875 0.123957
4.28 0.117586  -0.472409 -0.31945 0.128922
4.29 0.116688  -0.473048 -0.317004 0.133872
4.3 0.115795  -0.473677 -0.314538 0.138805
4.31 0.114909  -0.474294 -0.312051 0.143719
4.32 0.114029  -0.474899 -0.309544 0.148616
4.33 0.113155  -0.475494 -0.307017 0.153493
4.34 0.112287  -0.476077 -0.30447 0.158351
4.35 0.111425  -0.476649 -0.301904 0.163189
4.36 0.110569  -0.477211 -0.299318 0.168007
4.37 0.109719  -0.477761 -0.296713 0.172803
4.38 0.108876  -0.4783 -0.294089 0.177577
4.39 0.108038  -0.478828 -0.291447 0.182328
4.4 0.107206  -0.479345 -0.288786 0.187057
4.41 0.106379  -0.479851 -0.286106 0.191761
4.42 0.105559  -0.480346 -0.283408 0.196442
4.43 0.104745  -0.48083 -0.280693 0.201098
4.44 0.103936  -0.481304 -0.277959 0.205728
4.45 0.103133  -0.481767 -0.275208 0.210333
4.46 0.102335  -0.482219 -0.27244 0.214911
4.47 0.101544  -0.48266 -0.269654 0.219462
4.48 0.100758  -0.483091 -0.266852 0.223986
4.49 0.0999771  -0.483511 -0.264032 0.228481
4.5 0.0992021  -0.48392 -0.261196 0.232948
4.51 0.0984327  -0.484319 -0.258344 0.237385
4.52 0.0976687  -0.484708 -0.255476 0.241793
4.53 0.0969102  -0.485085 -0.252592 0.246171
4.54 0.0961571  -0.485453 -0.249691 0.250517
4.55 0.0954095  -0.48581 -0.246776 0.254833
4.56 0.0946671  -0.486157 -0.243845 0.259116
4.57 0.0939301  -0.486494 -0.240899 0.263368
4.58 0.0931984  -0.48682 -0.237938 0.267586
4.59 0.092472  -0.487136 -0.234962 0.271771
4.6 0.0917507  -0.487442 -0.231972 0.275922
4.61 0.0910347  -0.487737 -0.228967 0.280039
4.62 0.0903238  -0.488023 -0.225948 0.284121
4.63 0.0896181  -0.488298 -0.222916 0.288168
4.64 0.0889174  -0.488564 -0.21987 0.292179
4.65 0.0882219  -0.488819 -0.21681 0.296154
4.66 0.0875313  -0.489065 -0.213737 0.300092
4.67 0.0868458  -0.4893 -0.210651 0.303993
4.68 0.0861652  -0.489526 -0.207552 0.307856
4.69 0.0854896  -0.489742 -0.204441 0.311681
4.7 0.0848189  -0.489948 -0.201317 0.315468
4.71 0.0841531  -0.490144 -0.19818 0.319215
4.72 0.0834921  -0.490331 -0.195032 0.322924
4.73 0.0828359  -0.490508 -0.191872 0.326592
4.74 0.0821845  -0.490675 -0.1887 0.330221
4.75 0.0815379  -0.490833 -0.185517 0.333808
4.76 0.080896  -0.490981 -0.182323 0.337355
4.77 0.0802588  -0.49112 -0.179118 0.34086
4.78 0.0796263  -0.491249 -0.175902 0.344323
4.79 0.0789984  -0.491369 -0.172675 0.347744
4.8 0.0783752  -0.49148 -0.169439 0.351122
4.81 0.0777565  -0.491581 -0.166191 0.354457
4.82 0.0771423  -0.491672 -0.162935 0.357749
4.83 0.0765327  -0.491755 -0.159668 0.360997
4.84 0.0759275  -0.491828 -0.156392 0.3642
4.85 0.0753269  -0.491892 -0.153106 0.36736
4.86 0.0747306  -0.491947 -0.149811 0.370474
4.87 0.0741388  -0.491993 -0.146508 0.373543
4.88 0.0735513  -0.49203 -0.143196 0.376567
4.89 0.0729682  -0.492057 -0.139875 0.379544
4.9 0.0723894  -0.492076 -0.136546 0.382476
4.91 0.0718149  -0.492086 -0.133209 0.385361
4.92 0.0712446  -0.492087 -0.129864 0.388198
4.93 0.0706786  -0.492079 -0.126512 0.390989
4.94 0.0701168  -0.492062 -0.123152 0.393732
